,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
1046,7/2/2009,Yes,Nicaragua,IRD:Human,CY072781,CY072780,CY072779,CY072774,CY072777,CY072776,CY072775,CY072778,-N/A-,A/Managua/5235.03/2009(H1N1),H1N1
1047,8/31/2009,Yes,Nicaragua,IRD:Human,CY073680,CY073679,CY073678,CY073673,CY073676,CY073675,CY073674,CY073677,-N/A-,A/Managua/5248.03/2009(H1N1),H1N1
1048,9/29/2009,Yes,Nicaragua,IRD:Human,CY072957,CY072956,CY072955,CY072950,CY072953,CY072952,CY072951,CY072954,-N/A-,A/Managua/5258.02/2009(H1N1),H1N1
1049,6/8/2010,Yes,Nicaragua,IRD:Human,CY074914,CY074913,CY074912,CY074907,CY074910,CY074909,CY074908,CY074911,-N/A-,A/Managua/5259.02/2010(H3N2),H3N2
1050,8/13/2009,Yes,Nicaragua,IRD:Human,CY072997,CY072996,CY072995,CY072990,CY072993,CY072992,CY072991,CY072994,-N/A-,A/Managua/527.04/2009(H1N1),H1N1
1051,5/28/2010,Yes,Nicaragua,IRD:Human,CY088866,CY088865,CY088864,CY088859,CY088862,CY088861,CY088860,CY088863,-N/A-,A/Managua/5271.04/2010(H3N2),H3N2
1052,6/20/2009,Yes,Nicaragua,IRD:Human,CY072989,CY072988,CY072987,CY072982,CY072985,CY072984,CY072983,CY072986,-N/A-,A/Managua/5273.02/2009(H1N1),H1N1
1053,7/23/2009,Yes,Nicaragua,IRD:Human,CY073600,CY073599,CY073598,CY073593,CY073596,CY073595,CY073594,CY073597,-N/A-,A/Managua/5295.02/2009(H1N1),H1N1
1054,8/15/2009,Yes,Nicaragua,IRD:Human,CY072717,CY072716,CY072715,CY072710,CY072713,CY072712,CY072711,CY072714,-N/A-,A/Managua/5307.01/2009(H1N1),H1N1
1055,7/27/2009,Yes,Nicaragua,IRD:Human,CY072629,CY072628,CY072627,CY072622,CY072625,CY072624,CY072623,CY072626,-N/A-,A/Managua/5339.04/2009(H1N1),H1N1
1056,6/13/2009,Yes,Nicaragua,IRD:Human,CY058235,CY058234,CY058233,CY058228,CY058231,CY058230,CY058229,CY058232,-N/A-,A/Managua/5363.02/2009(H1N1),H1N1
1057,7/21/2009,Yes,Nicaragua,IRD:Human,CY069265,CY069264,CY069263,CY069258,CY069261,CY069260,CY069259,CY069262,-N/A-,A/Managua/5364.01/2009(H1N1),H1N1
1058,8/7/2009,Yes,Nicaragua,IRD:Human,CY073528,CY073527,CY073526,CY073521,CY073524,CY073523,CY073522,CY073525,-N/A-,A/Managua/5399.04/2009(H1N1),H1N1
1059,9/16/2009,Yes,Nicaragua,IRD:Human,CY072789,CY072788,CY072787,CY072782,CY072785,CY072784,CY072783,CY072786,-N/A-,A/Managua/5401.01/2009(H1N1),H1N1
1060,6/2/2010,Yes,Nicaragua,IRD:Human,CY088797,CY088796,CY088795,CY088790,CY088793,CY088792,CY088791,CY088794,-N/A-,A/Managua/5427.01/2010(H3N2),H3N2
1061,6/1/2010,Yes,Nicaragua,IRD:Human,CY088954,CY088953,CY088952,CY088947,CY088950,CY088949,CY088948,CY088951,-N/A-,A/Managua/5444.02/2010(H3N2),H3N2
1062,6/15/2009,Yes,Nicaragua,IRD:Human,CY058131,CY058130,CY058129,CY058124,CY058127,CY058126,CY058125,CY058128,-N/A-,A/Managua/5453.01/2009(H1N1),H1N1
1063,8/10/2009,Yes,Nicaragua,IRD:Human,CY072693,CY072692,CY072691,CY072686,CY072689,CY072688,CY072687,CY072690,-N/A-,A/Managua/554.01/2009(H1N1),H1N1
1064,6/4/2010,Yes,Nicaragua,IRD:Human,CY074858,CY074857,CY074856,CY074851,CY074854,CY074853,CY074852,CY074855,-N/A-,A/Managua/5543.01/2010(H3N2),H3N2
1065,6/30/2009,Yes,Nicaragua,IRD:Human,CY058195,CY058194,CY058193,CY058188,CY058191,CY058190,CY058189,CY058192,-N/A-,A/Managua/5586.01/2009(H1N1),H1N1
1066,9/14/2009,Yes,Nicaragua,IRD:Human,CY072941,CY072940,CY072939,CY072934,CY072937,CY072936,CY072935,CY072938,-N/A-,A/Managua/5590.02/2009(H1N1),H1N1
