Sample ID,Common Name,Band  #,Web Tag #,Nest ID,HS Bird ID,Species,Species.1,Sex,Capture,Health,Age,Age simple,Wild/Dom.,Habitat,Sample Type,GPS N,GPS W,Time,Date,Month,Year,Name,Location,Data Sheet,Capture #,Banding Date,Recap?,Ours or Foreign?,Category,Mass,Head,Total Tarsus,Wing Chord,Culmen,Grain Index,Blood Vial,Serum Vial,Whole Blood,Specific Location,Capture Method,Vial Notes,Marker Notes,Notes,Paired?,Date Shot,Time Shot,Fecal Quality,Fecal Loc,Brood ID,Hen Band #,"Wet, Dry, Pipping?",Brood Size,HEN STATUS?,decoy band,Cloacal Sample ID,Oral Sample ID,Notes.1
9BM5941,A/northern pintail/Interior Alaska/9BM5941R0/2009(H10N7),1146-18538,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93807,148.80484,2120,01-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB7,129,27-Jul-09,Y,O,MIGRANT,668,97.8,48,246,,0,25,9BM20025,9BM30025,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM4660,A/northern pintail/Interior Alaska/9BM4660R0/2009(H4N6),1146-18543,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,OP,64.93807,148.80484,1200,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB3,51,27-Jul-09,Y,O,MIGRANT,637,98.3,46.4,237,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM4347,A/northern pintail/Interior Alaska/9BM4347R0/2009(H4N6),1146-18545,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.93807,148.80484,1030,27-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B4,89,27-Jul-09,N,,MIGRANT,721,99,49.1,250,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM4641,A/northern pintail/Interior Alaska/9BM4641R0/2009(H4N6),1146-18548,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.93807,148.80484,1200,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB3,42,27-Jul-09,Y,O,MIGRANT,747,96.5,48,248,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM4637,A/northern pintail/Interior Alaska/9BM4637R0/2009(H10N7),1146-18553,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,1200,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB3,40,27-Jul-09,Y,O,MIGRANT,634,99,47.5,244,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM4410,A/northern pintail/Interior Alaska/9BM4410R1/2009(H10N7),1146-18563,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.91829,148.80766,1055,28-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B5,112,28-Jul-09,N,,MIGRANT,722,96.4,47.1,242,,3,,,,WACKY DUCK NECK E BAIT,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM5053,A/northern pintail/Interior Alaska/9BM5053R0/2009(H10N7),1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,2255,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB4,58,28-Jul-09,Y,O,MIGRANT,733,103.3,47.9,240,,4,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM5054,A/northern pintail/Interior Alaska/9BM5054R0/2009(H10N7),1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93807,148.80484,2255,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB4,58,28-Jul-09,Y,O,MIGRANT,733,103.3,47.9,240,,4,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM5375,A/northern pintail/Interior Alaska/9BM5375R0/2009(H10N7),1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,2115,30-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB5,80,28-Jul-09,Y,O,MIGRANT,703,,,240,,3,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM5376,A/northern pintail/Interior Alaska/9BM5376R0/2009(H10N7),1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93807,148.80484,2115,30-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB5,80,28-Jul-09,Y,O,MIGRANT,703,,,240,,3,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM6164,A/northern pintail/Interior Alaska/9BM6164R0/2009(H10N7),1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,2201,02-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB8,158,28-Jul-09,Y,O,MIGRANT,736,,,245,,4,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM6165,A/northern pintail/Interior Alaska/9BM6165R0/2009(H10N7),1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93807,148.80484,2201,02-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB8,158,28-Jul-09,Y,O,MIGRANT,736,,,245,,4,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM10959,A/northern pintail/Interior Alaska/9BM10959R2/2009(H10N7),1146-18582,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.91926,148.80902,2218,17-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB36,867,28-Jul-09,Y,O,MIGRANT,742,,,248,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM8967,A/northern pintail/Interior Alaska/9BM8967R0/2009(H8N4),1146-18584,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.93795,148.80226,2001,11-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB20,460,29-Jul-09,Y,O,MIGRANT,797,,,229,,0,,,,SAM BERRY WATER,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM4583,A/northern pintail/Interior Alaska/9BM4583R0/2009(H4N6),1146-18586,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,1200,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B7,154,29-Jul-09,N,,MIGRANT,816,95,48,243,,2,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM4787,A/northern shoveler/Interior Alaska/9BM4787R0/2009(H8N4),1146-18640,,,,NSHO,Anas clypeata,M,A,H,3,HY,W,M,C,64.96447,148.75418,1705,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",MD12,1517,29-Jul-09,N,,DUCKLING,502,105.2,42.8,177,56.8,,,,,WHINEY LAKE,DRIVE TRAP,,,,,,,,,,,,,,,,,
9BM4989,A/northern pintail/Interior Alaska/9BM4989R0/2009(H10N7),1146-18693,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.93807,148.80484,2255,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B9,207,29-Jul-09,N,,MIGRANT,708,100.4,45.6,215,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM4991,A/northern pintail/Interior Alaska/9BM4991R0/2009(H10N7),1146-18694,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,2255,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B9,208,29-Jul-09,N,,MIGRANT,747,97.8,47.2,237,,2,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM4994,A/northern pintail/Interior Alaska/9BM4994R0/2009(H10N7),1146-18695,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93807,148.80484,2255,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B9,209,29-Jul-09,N,,MIGRANT,676,97.1,47,244,,1,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM10218,A/northern pintail/Interior Alaska/9BM10218R0/2009(H10N7),1146-18741,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,OP,64.91926,148.80902,946,16-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB29,706,30-Jul-09,Y,O,MIGRANT,977,,,267,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM7232,A/northern pintail/Interior Alaska/9BM7232R0/2009(H4N6),1146-18741,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.93807,148.80484,2105,06-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB11,219,30-Jul-09,Y,O,MIGRANT,905,,,267,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
